GYRO_DIFF, GYRO_X, GYRO_Y, GYRO_Z, ACC_DIFF, ACC_X, ACC_Y, ACC_Z, TOUCH_DOWN, TOUCH_X, TOUCH_Y 
420985853291568, 0.06843567, -0.039779663, -0.084732056, 420985853291568, -0.50041777, -0.47037935, -0.59740496, 0, 0, 0
5004883, 0.06477356, -0.052001953, -0.072525024, 5004883, -0.5344821, -0.4859724, -0.604352, 0, 0, 0
5065918, 0.07698059, -0.06298828, -0.05419922, 5065918, -0.50848603, -0.5100794, -0.5655298, 0, 0, 0
5004883, 0.086761475, -0.069107056, -0.041992188, 5004883, -0.42983294, -0.5514283, -0.6458888, 0, 0, 0
5065918, 0.083099365, -0.060546875, -0.04319763, 5065918, -0.25874394, -0.54284334, -0.6956606, 0, 0, 0
4943848, 0.065979004, -0.049545288, -0.033432007, 4943848, -0.083507895, -0.51716757, -0.7130475, 0, 0, 0
4943847, 0.042770386, -0.037338257, -0.033432007, 4943847, 0.0263592, -0.45393324, -0.7536583, 0, 0, 0
4943848, 0.025680542, -0.031219482, -0.044433594, 4943848, 0.059497207, -0.4127245, -0.76123476, 0, 0, 0
4974365, 0.0073547363, -0.016571045, -0.045639038, 4974365, 0.07074168, -0.36352873, -0.75519896, 0, 0, 0
4913330, -0.020751953, 0.005432129, -0.063964844, 4913330, -0.023927033, -0.27246857, -0.7149434, 0, 0, 0
4913330, -0.040283203, 0.015197754, -0.072525024, 4913330, -0.13230133, -0.22131014, -0.65215826, 0, 0, 0
4974365, -0.040283203, 0.010314941, -0.07008362, 4974365, -0.25351036, -0.25540257, -0.52623844, 0, 0, 0
4913331, -0.062286377, 0.010314941, -0.07130432, 4913331, -0.33057418, -0.2611699, -0.39324236, 0, 0, 0
4974365, -0.062286377, -0.023895264, -0.051757813, 4974365, -0.4079043, -0.30458164, -0.31130362, 0, 0, 0
4913330, -0.07815552, -0.059326172, -0.051757813, 4913330, -0.4254233, -0.28265762, -0.18047714, 0, 0, 0
4974365, -0.061050415, -0.07154846, -0.026107788, 4974365, -0.41844317, -0.3238535, -0.08252382, 0, 0, 0
4913330, -0.062286377, -0.059326172, -0.0065460205, 4913330, -0.3707138, -0.33775806, 0.011255264, 0, 0, 0
4974365, -0.056167603, -0.059326172, 0.02520752, 4974365, -0.22657353, -0.21189022, 0.03508711, 0, 0, 0
4913331, -0.06838989, -0.052001953, 0.034973145, 4913331, -0.07758862, -0.07858229, 0.22481155, 0, 0, 0
4974365, -0.07449341, -0.03366089, 0.049621582, 4974365, 0.14396861, 0.054024696, 0.4867277, 0, 0, 0
4913330, -0.050048828, -0.009246826, 0.06185913, 4913330, 0.22009319, 0.14963579, 0.57599163, 0, 0, 0
4974365, -0.034179688, 0.018859863, 0.059402466, 4974365, 0.20769948, 0.2045126, 0.48106527, 0, 0, 0
4913330, -0.006072998, 0.018859863, 0.04473877, 4913330, 0.30117774, 0.20888186, 0.25437593, 0, 0, 0
4974365, 0.0158844, 0.022506714, 0.03253174, 4974365, 0.4572642, 0.24713564, 0.05588007, 0, 0, 0
4974366, 0.028121948, 0.026184082, 0.005645752, 4974366, 0.5452167, 0.23814249, -0.13018322, 0, 0, 0
4943847, 0.025680542, 0.023742676, -0.01876831, 4943847, 0.48753902, 0.108475685, -0.16331339, 0, 0, 0
4943848, 0.026885986, 0.026184082, -0.055419922, 4943848, 0.36168268, 0.03900051, -0.20340443, 0, 0, 0
7019043, 0.023239136, 0.0029907227, -0.07740784, 7019043, -0.1435717, -0.13646317, -0.27887726, 0, 0, 0
5035400, 0.02079773, -0.005569458, -0.076187134, 5035400, -0.34475267, -0.15462637, -0.3106737, 0, 0, 0
5035401, 0.0012359619, -0.023895264, -0.05908203, 5035401, -0.48682815, -0.21537304, -0.34792614, 0, 0, 0
5004883, -0.046401978, -0.04710388, -0.005340576, 5035401, -0.48682815, -0.21537304, -0.34792614, 0, 0, 0
4974365, -0.05128479, -0.030014038, 0.016647339, 5035400, -0.4859174, -0.23778534, -0.26411104, 0, 0, 0
4943848, -0.061050415, -0.015335083, 0.02885437, 5004883, -0.4497662, -0.22374153, -0.096339226, 0, 0, 0
4943848, -0.061050415, -0.015335083, 0.02885437, 4943848, -0.13589254, -0.11460972, 0.024562836, 0, 0, 0
4943847, -0.05860901, 0.0090789795, 0.04109192, 4943847, -0.143662, -0.014363289, 0.03558588, 0, 0, 0
4943848, -0.047607422, 0.05795288, 0.05696106, 4943847, -0.143662, -0.014363289, 0.03558588, 0, 0, 0
4913330, -0.057388306, 0.038391113, 0.052078247, 4943848, -0.073173106, 0.04807043, -0.030826092, 0, 0, 0
4913330, -0.057388306, 0.038391113, 0.052078247, 4913330, 0.120061964, 0.102613926, -0.17643785, 0, 0, 0
4974365, -0.06838989, 0.011520386, 0.034973145, 4974365, 0.0704523, 0.08148813, -0.2614131, 0, 0, 0
4943847, -0.057388306, -0.04222107, 0.02885437, 4974365, 0.0704523, 0.08148813, -0.2614131, 0, 0, 0
4943848, -0.053726196, -0.088653564, 0.020324707, 4943848, 0.009859711, 0.07532406, -0.23240995, 0, 0, 0
4943848, -0.053726196, -0.088653564, 0.020324707, 4943848, 0.1548016, -0.011431694, -0.41871738, 0, 0, 0
4943847, -0.025634766, -0.124069214, -4.5776367E-4, 4943848, 0.1548016, -0.011431694, -0.41871738, 0, 0, 0
4943847, -0.025634766, -0.124069214, -4.5776367E-4, 4943847, 0.023115098, -0.0645113, -0.26482773, 0, 0, 0
4943848, -0.008514404, -0.14483643, 0.005645752, 4943848, 0.16602379, -0.059096813, -0.20213652, 0, 0, 0
