epoch, loss(train), loss(val)
1, 0.081076, 0.080157
2, 0.066463, 0.065666
3, 0.062919, 0.061976
4, 0.060628, 0.059808
5, 0.059844, 0.059490
6, 0.058894, 0.058886
7, 0.058105, 0.058281
8, 0.058455, 0.058729
9, 0.058922, 0.059131
10, 0.058956, 0.059306
11, 0.058469, 0.058933
12, 0.058072, 0.058506
13, 0.057307, 0.057784
14, 0.057222, 0.057702
15, 0.057362, 0.057717
16, 0.057522, 0.057944
17, 0.057647, 0.058053
18, 0.057541, 0.057957
19, 0.057042, 0.057471
20, 0.056091, 0.056579
21, 0.054991, 0.055530
22, 0.054226, 0.054662
23, 0.053777, 0.054135
24, 0.053539, 0.053836
25, 0.053446, 0.053619
26, 0.053313, 0.053470
27, 0.053191, 0.053353
28, 0.052992, 0.053204
29, 0.052857, 0.053072
30, 0.052719, 0.052959
31, 0.052611, 0.052836
32, 0.052661, 0.052784
33, 0.052623, 0.052703
34, 0.052687, 0.052694
35, 0.052638, 0.052621
36, 0.052712, 0.052623
37, 0.052754, 0.052622
38, 0.052624, 0.052540
39, 0.052501, 0.052471
40, 0.052327, 0.052386
41, 0.052139, 0.052290
42, 0.051910, 0.052190
43, 0.051775, 0.052131
44, 0.051657, 0.052084
45, 0.051575, 0.052054
46, 0.051527, 0.052025
47, 0.051509, 0.052006
48, 0.051462, 0.051982
49, 0.051404, 0.051955
50, 0.051383, 0.051947
51, 0.051343, 0.051926
52, 0.051307, 0.051916
53, 0.051265, 0.051910
54, 0.051228, 0.051908
55, 0.051189, 0.051919
56, 0.051161, 0.051932
57, 0.051141, 0.051949
58, 0.051128, 0.051980
59, 0.051120, 0.052005
60, 0.051108, 0.052011
61, 0.051099, 0.052020
62, 0.051082, 0.052008
63, 0.051070, 0.052010
64, 0.051047, 0.051978
65, 0.051030, 0.051959
66, 0.051010, 0.051929
67, 0.050991, 0.051898
68, 0.050976, 0.051871
69, 0.050964, 0.051857
70, 0.050952, 0.051838
71, 0.050941, 0.051816
72, 0.050934, 0.051809
73, 0.050927, 0.051804
74, 0.050920, 0.051786
75, 0.050914, 0.051782
76, 0.050908, 0.051770
77, 0.050903, 0.051765
78, 0.050898, 0.051756
79, 0.050894, 0.051756
80, 0.050890, 0.051747
81, 0.050886, 0.051748
82, 0.050883, 0.051741
83, 0.050879, 0.051741
84, 0.050876, 0.051734
85, 0.050874, 0.051729
86, 0.050871, 0.051728
87, 0.050868, 0.051726
88, 0.050866, 0.051722
89, 0.050864, 0.051722
90, 0.050862, 0.051717
91, 0.050860, 0.051716
92, 0.050858, 0.051717
93, 0.050857, 0.051714
94, 0.050855, 0.051716
95, 0.050854, 0.051711
96, 0.050853, 0.051714
97, 0.050852, 0.051707
98, 0.050850, 0.051708
99, 0.050849, 0.051707
100, 0.050848, 0.051707
101, 0.050848, 0.051707
102, 0.050847, 0.051705
103, 0.050846, 0.051703
104, 0.050845, 0.051702
105, 0.050845, 0.051702
106, 0.050844, 0.051700
107, 0.050844, 0.051701
108, 0.050843, 0.051700
109, 0.050843, 0.051700
110, 0.050842, 0.051699
111, 0.050842, 0.051699
112, 0.050841, 0.051699
113, 0.050841, 0.051697
114, 0.050841, 0.051696
115, 0.050840, 0.051697
116, 0.050840, 0.051698
117, 0.050840, 0.051695
118, 0.050840, 0.051696
119, 0.050839, 0.051695
120, 0.050839, 0.051695
121, 0.050839, 0.051695
122, 0.050839, 0.051694
123, 0.050839, 0.051694
124, 0.050839, 0.051694
125, 0.050838, 0.051694
126, 0.050838, 0.051694
127, 0.050838, 0.051694
128, 0.050838, 0.051693
129, 0.050838, 0.051693
130, 0.050838, 0.051693
131, 0.050838, 0.051693
132, 0.050838, 0.051693
133, 0.050838, 0.051693
134, 0.050838, 0.051693
135, 0.050838, 0.051693
136, 0.050838, 0.051693
137, 0.050838, 0.051693
138, 0.050838, 0.051693
139, 0.050837, 0.051692
140, 0.050837, 0.051692
141, 0.050837, 0.051692
142, 0.050837, 0.051692
143, 0.050837, 0.051692
144, 0.050837, 0.051691
145, 0.050837, 0.051691
146, 0.050837, 0.051691
147, 0.050837, 0.051691
148, 0.050837, 0.051691
149, 0.050837, 0.051691
150, 0.050837, 0.051691
151, 0.050837, 0.051691
152, 0.050837, 0.051691
153, 0.050837, 0.051691
154, 0.050837, 0.051691
155, 0.050837, 0.051691
156, 0.050837, 0.051691
157, 0.050837, 0.051691
158, 0.050837, 0.051691
159, 0.050837, 0.051691
160, 0.050837, 0.051691
161, 0.050837, 0.051691
162, 0.050837, 0.051691
163, 0.050837, 0.051691
164, 0.050837, 0.051691
165, 0.050837, 0.051691
166, 0.050837, 0.051691
167, 0.050837, 0.051691
168, 0.050837, 0.051691
169, 0.050837, 0.051691
170, 0.050837, 0.051690
171, 0.050837, 0.051691
172, 0.050837, 0.051691
173, 0.050837, 0.051691
174, 0.050837, 0.051691
175, 0.050837, 0.051691
176, 0.050837, 0.051691
177, 0.050837, 0.051690
178, 0.050837, 0.051690
179, 0.050837, 0.051690
180, 0.050837, 0.051690
181, 0.050837, 0.051690
182, 0.050837, 0.051691
183, 0.050837, 0.051691
184, 0.050837, 0.051690
185, 0.050837, 0.051690
