epoch, loss(train), loss(val)
1, 0.093080, 0.092508
2, 0.069031, 0.067629
3, 0.064291, 0.062943
4, 0.060827, 0.059568
5, 0.059301, 0.058460
6, 0.058672, 0.057920
7, 0.057834, 0.057255
8, 0.057435, 0.057099
9, 0.057113, 0.056812
10, 0.057030, 0.056849
11, 0.056916, 0.056893
12, 0.056653, 0.056813
13, 0.056223, 0.056521
14, 0.055907, 0.056257
15, 0.055811, 0.056153
16, 0.055996, 0.056253
17, 0.056509, 0.056749
18, 0.056736, 0.057002
19, 0.056825, 0.057148
20, 0.056349, 0.056709
21, 0.055339, 0.055721
22, 0.054080, 0.054463
23, 0.053393, 0.053672
24, 0.053121, 0.053326
25, 0.053043, 0.053181
26, 0.052858, 0.053029
27, 0.052826, 0.052986
28, 0.052841, 0.053040
29, 0.052777, 0.053036
30, 0.052711, 0.052963
31, 0.052688, 0.052891
32, 0.052576, 0.052782
33, 0.052667, 0.052730
34, 0.052779, 0.052696
35, 0.052854, 0.052653
36, 0.053212, 0.052754
37, 0.053448, 0.052824
38, 0.053491, 0.052787
39, 0.053333, 0.052663
40, 0.052837, 0.052362
41, 0.052389, 0.052117
42, 0.052066, 0.051959
43, 0.051788, 0.051844
44, 0.051640, 0.051785
45, 0.051530, 0.051748
46, 0.051493, 0.051737
47, 0.051452, 0.051726
48, 0.051433, 0.051714
49, 0.051401, 0.051703
50, 0.051384, 0.051694
51, 0.051362, 0.051680
52, 0.051325, 0.051665
53, 0.051259, 0.051651
54, 0.051197, 0.051644
55, 0.051136, 0.051634
56, 0.051068, 0.051633
57, 0.051019, 0.051637
58, 0.050977, 0.051658
59, 0.050942, 0.051691
60, 0.050919, 0.051711
61, 0.050904, 0.051738
62, 0.050891, 0.051758
63, 0.050875, 0.051761
64, 0.050858, 0.051750
65, 0.050837, 0.051725
66, 0.050814, 0.051685
67, 0.050799, 0.051681
68, 0.050780, 0.051648
69, 0.050765, 0.051627
70, 0.050754, 0.051615
71, 0.050742, 0.051595
72, 0.050732, 0.051581
73, 0.050722, 0.051563
74, 0.050714, 0.051547
75, 0.050708, 0.051543
76, 0.050701, 0.051528
77, 0.050696, 0.051524
78, 0.050690, 0.051518
79, 0.050685, 0.051510
80, 0.050680, 0.051509
81, 0.050676, 0.051503
82, 0.050673, 0.051498
83, 0.050669, 0.051496
84, 0.050666, 0.051490
85, 0.050663, 0.051489
86, 0.050660, 0.051486
87, 0.050657, 0.051482
88, 0.050655, 0.051479
89, 0.050653, 0.051477
90, 0.050651, 0.051476
91, 0.050649, 0.051473
92, 0.050647, 0.051470
93, 0.050646, 0.051464
94, 0.050644, 0.051465
95, 0.050643, 0.051466
96, 0.050641, 0.051465
97, 0.050640, 0.051461
98, 0.050639, 0.051463
99, 0.050638, 0.051463
