
--------[13_09_2019 21:37:09]--------
[21:38:08] INIT with Loss(val_set): 0.126601
[21:40:23] Epoch   5: Loss: 0.066853
[21:41:15] Epoch  10: Loss: 0.061259
[21:42:08] Epoch  15: Loss: 0.058832
[21:43:00] Epoch  20: Loss: 0.056455
[21:43:53] Epoch  25: Loss: 0.054665
[21:44:46] Epoch  30: Loss: 0.053267
[21:45:40] Epoch  35: Loss: 0.052252
[21:46:34] Epoch  40: Loss: 0.051444
[21:47:28] Epoch  45: Loss: 0.050981
[21:48:22] Epoch  50: Loss: 0.050672
[21:49:15] Epoch  55: Loss: 0.050308
[21:50:08] Epoch  60: Loss: 0.049819
[21:51:02] Epoch  65: Loss: 0.049450
[21:51:56] Epoch  70: Loss: 0.048893
[21:52:50] Epoch  75: Loss: 0.048296
[21:53:45] Epoch  80: Loss: 0.047833
[21:54:39] Epoch  85: Loss: 0.047494
[21:55:33] Epoch  90: Loss: 0.047271
[21:56:28] Epoch  95: Loss: 0.047155
[21:57:22] Epoch 100: Loss: 0.047089
[21:57:24] FINAL Loss(val_set): 0.048739
